site_no,RBI,RBIrank,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,FLOWYRS_1990_2009,wy00_09
2234308,0.186335208,266,"HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL",59.1,3,28.632499,-81.323123,FL,Non-ref,SECstPlain,130.63,131.17,22.22,22.2,28.02,0.02,28,16.41,0.045,16.4,1153.5,0,0.276,13,10
2234324,0.148013095,207,"HOWELL CREEK NR SLAVIA, FLA.",85.1,3,28.647776,-81.264511,FL,Non-ref,SECstPlain,130.85,131.98,22.18,22,28.02,0.023,28,16.39,0.06,16.2,1151.1,0,0.276,20,10
2234344,0.173918684,247,"HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL",147.4,3,28.689997,-81.247566,FL,Non-ref,SECstPlain,131.29,132.62,22.1,21.8,27.99,0.044,27.9,16.32,0.118,16,1145.8,0,0.276,10,10
2234384,0.251215294,382,"SOLDIER CREEK NR LONGWOOD, FLA.",46.3,3,28.718885,-81.308678,FL,Non-ref,SECstPlain,132.5,132.85,21.91,21.9,27.98,0.017,27.9,16.18,0.074,16,1134.8,0,0.263,20,10
2234400,0.254753127,395,"GEE CREEK NR LONGWOOD, FLA.",42.7,3,28.703607,-81.290067,FL,Non-ref,SECstPlain,132.07,132.69,21.96,21.8,27.99,0.029,27.9,16.22,0.08,16.1,1138.3,0,0.269,20,10
2234990,0.199722069,289,"LITTLE WEKIVA RIVER NR ALTAMONTE SPRINGS, FL",110.3,3,28.687219,-81.397014,FL,Non-ref,SECstPlain,130.76,131.61,22.16,22,28.01,0.021,28,16.37,0.069,16.2,1149.9,0,0.272,20,10
2235000,0.03961042,12,"WEKIVA RIVER NR SANFORD, FLA.",449,3,28.81527,-81.419235,FL,Non-ref,SECstPlain,131,132.26,21.99,21.7,27.98,0.042,27.9,16.22,0.162,16,1139.8,0,0.265,20,10
2235200,0.059023828,38,"BLACKWATER CREEK NEAR CASSIA, FL",297.7,3,28.874531,-81.489383,FL,Ref,SECstPlain,132.96,132.12,21.65,21.7,27.84,0.088,27.8,14.98,0.4,15.7,1120.7,0,0.254,20,10
2236500,0.12582431,170,"BIG CREEK NEAR CLERMONT, FL",146.9,3,28.447782,-81.740076,FL,Ref,SECstPlain,129.36,129.41,22.28,22.2,28.31,0.102,28.2,16.36,0.043,16.3,1152.9,0,0.286,20,10
2237734,0.131974158,184,"WOLF BRANCH AT FCRR NEAR MOUNT DORA, FL",11.9,3,28.79666,-81.60785,FL,Non-ref,SECstPlain,129.71,129.91,21.9,21.9,27.95,0.038,27.9,16.24,0.054,16.2,1135,0,0.243,17,10
2243000,0.184043852,262,"ORANGE CREEK AT ORANGE SPRINGS, FLA.",3071.7,3,29.509693,-81.9462,FL,Non-ref,SECstPlain,132.84,132.17,20.83,20.8,27.36,0.238,27.9,14.39,0.301,14.2,1080.4,0,0.204,20,10
2245500,0.343265438,606,"SOUTH FORK BLACK CREEK NR PENNEY FARMS, FLA.",348.4,3,29.979408,-81.852043,FL,Ref,SECstPlain,133.13,133.24,20.17,20.2,27.05,0.159,26.8,14.33,0.368,14.8,1045,0,0.202,20,10
2246000,0.312826445,527,"NORTH FORK BLACK CREEK NR MIDDLEBURG, FLA.",451.1,3,30.113295,-81.906492,FL,Ref,SECstPlain,133.98,133.87,19.88,20,26.81,0.092,26.6,14.29,0.37,14.9,1033.3,0,0.202,20,10
2247510,0.278744732,445,"TOMOKA RIVER NR HOLLY HILL, FLA.",145,3,29.217481,-81.108669,FL,Non-ref,SECstPlain,127.98,127.26,21.47,21.5,26.96,0.236,26.6,15.8,0.316,16,1107.6,0,0.209,20,10
2262900,0.168507591,234,"BOGGY CREEK NR TAFT, FLA.",216.9,3,28.371397,-81.310625,FL,Non-ref,SECstPlain,128.24,127.55,22.36,22.4,28.06,0.026,28.1,16.48,0.039,16.5,1160.9,0,0.286,20,10
2263800,0.129567738,179,"SHINGLE CREEK AT AIRPORT NR KISSIMMEE, FLA.",274.8,3,28.304178,-81.450905,FL,Non-ref,SECstPlain,128.9,125.8,22.32,22.4,28.13,0.057,28.3,16.44,0.06,16.3,1157.9,0,0.282,20,10
2263869,0.19720081,283,"SOUTH LAKE OUTLET AB S-15, NR VINELAND, FLA.",8.5,3,28.412785,-81.537851,FL,Non-ref,SECstPlain,129.77,129.43,22.3,22.3,28.17,0.005,28.2,16.35,0.013,16.4,1155.1,0,0.281,20,10
2264100,0.333725239,587,"BONNET CREEK NR VINELAND, FLA.",113,3,28.333065,-81.522017,FL,Non-ref,SECstPlain,129.53,127.85,22.3,22.4,28.17,0.039,28.3,16.39,0.062,16.3,1155.5,0,0.281,20,10
2266205,0.351828218,624,"WHITTENHORSE CREEK AT S-411 NR VINELAND,FL",27,3,28.393063,-81.610908,FL,Non-ref,SECstPlain,129.41,129.41,22.26,22.3,28.2,0.011,28.2,16.33,0.024,16.3,1152.7,0,0.28,20,10
2266300,0.218545151,316,"REEDY CREEK NR VINELAND, FLA.",257.8,3,28.332787,-81.579796,FL,Non-ref,SECstPlain,129.48,128.81,22.26,22.3,28.19,0.03,28.2,16.33,0.041,16.3,1152.6,0,0.28,20,10
2266480,0.169530663,239,"DAVENPORT CREEK NR LOUGHMAN, FLA.",43.6,3,28.271123,-81.590907,FL,Non-ref,SECstPlain,129,128.63,22.33,22.4,28.29,0.026,28.3,16.36,0.065,16.4,1155.3,0,0.286,20,10
2266496,0.091399016,90,"REEDY CREEK BELOW S-40, NEAR LOUGHMAN, FL",484.7,3,28.275845,-81.543684,FL,Non-ref,SECstPlain,129.24,127.7,22.29,22.4,28.2,0.051,28.3,16.34,0.057,16.3,1154.1,0,0.281,18,10
2267000,0.028614779,4,"CATFISH CREEK NR LAKE WALES, FLA.",168.6,3,27.961411,-81.496463,FL,Non-ref,SECstPlain,128.06,128.29,22.42,22.4,28.58,0.046,28.6,16.35,0.087,16.2,1155.8,0,0.313,20,10
2268390,0.065879586,52,TIGER CREEK NEAR BABSON PARK FL,119.2,3,27.81142,-81.44368,FL,Ref,SECstPlain,129.65,132.49,22.42,22.4,28.61,0.03,28.7,16.28,0.107,16,1155.8,0,0.321,18,10
2269520,0.064313992,48,LIVINGSTON CREEK NEAR FROSTPROOF FL,307,3,27.70864,-81.44646,FL,Non-ref,SECstPlain,129.51,131.16,22.47,22.4,28.67,0.037,28.7,16.37,0.068,16.4,1158.4,0,0.327,18,10
2270000,0.140707272,197,CARTER CREEK NEAR SEBRING FL,84.7,3,27.532257,-81.387572,FL,Non-ref,SECstPlain,128.58,129.11,22.49,22.4,28.75,0.011,28.8,16.45,0.03,16.5,1159.4,0,0.334,18,10
2270500,0.087024208,84,"ARBUCKLE CREEK NR DE SOTO CITY, FLA.",982.2,3,27.442538,-81.297293,FL,Non-ref,SECstPlain,130.21,129.16,22.41,22.4,28.7,0.06,28.8,16.4,0.086,16.6,1153.5,0,0.329,20,10
2277600,0.106544198,129,"LOXAHATCHEE RIVER NEAR JUPITER,FL",6.9,3,26.939224,-80.174767,FL,Non-ref,SECstPlain,148.77,148.49,23.29,23.3,28.49,0.043,28.3,18.78,0.053,18.9,1192.6,0,0.266,19,10
2291580,0.227929309,336,"NORTH BRANCH ESTERO RIVER AT ESTERO, FL",75.1,3,26.442025,-81.795641,FL,Non-ref,SECstPlain,137.63,138.23,23.32,23.4,29.03,0.234,28.8,17.42,0.211,17.7,1203.6,0,0.403,20,10
2295013,0.208349779,302,BOWLEGS CREEK NEAR FORT MEADE FL,147.5,3,27.700032,-81.695358,FL,Ref,SECstPlain,129.53,129.88,22.5,22.5,28.62,0.045,28.7,16.39,0.044,16.3,1162.3,0,0.323,18,10
2296500,0.146698169,206,CHARLIE CREEK NEAR GARDNER FL,886.4,3,27.375043,-81.796471,FL,Ref,SECstPlain,128.85,129.51,22.5,22.5,28.81,0.036,28.9,16.38,0.051,16.5,1157.8,0,0.335,20,10
2297155,0.260742736,404,HORSE CREEK NEAR MYAKKA HEAD FL,93.6,3,27.487261,-82.02342,FL,Ref,SECstPlain,134.07,133.02,22.5,22.5,28.7,0.031,28.8,16.23,0.035,16.1,1161.7,0,0.335,20,10
2297310,0.191352456,273,HORSE CREEK NEAR ARCADIA FL,528.4,3,27.199495,-81.988419,FL,Ref,SECstPlain,131.33,128.56,22.51,22.5,28.85,0.103,29,16.16,0.051,16.2,1158.6,0,0.337,20,10
2298123,0.128251252,173,PRAIRIE CREEK NEAR FORT OGDEN FL,540.7,3,27.052,-81.784527,FL,Ref,SECstPlain,129.32,129.28,22.55,22.6,29.05,0.069,29,16.34,0.092,16.3,1156.5,0,0.34,20,10
2298488,0.377954263,666,MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL,69.9,3,27.429208,-82.1387,FL,Ref,SECstPlain,134.55,134.26,22.5,22.5,28.76,0.034,28.8,16.18,0.024,16.2,1159.9,0,0.336,10,10
2298495,0.587393934,882,MAPLE CREEK NEAR MYAKKA CITY FL,11.4,3,27.384488,-82.129811,FL,Ref,SECstPlain,133.53,134.01,22.5,22.5,28.83,0.011,28.9,16.14,0.025,16.1,1160.5,0,0.336,10,10
2298530,0.338732897,596,COKER CREEK NEAR MYAKKA CITY FL,15.2,3,27.409765,-82.175089,FL,Ref,SECstPlain,135.04,134.82,22.5,22.5,28.78,0.031,28.8,16.2,0.012,16.2,1159.2,0,0.335,10,10
2298608,0.238096342,358,MYAKKA RIVER AT MYAKKA CITY FL,312.3,3,27.343656,-82.156756,FL,Ref,SECstPlain,134.25,135.18,22.51,22.5,28.82,0.052,28.9,16.17,0.04,16.2,1159.9,0,0.337,20,10
2299861,0.571414851,863,WALKER CREEK NEAR SARASOTA FL,13.9,3,27.367822,-82.544264,FL,Non-ref,SECstPlain,136.5,136.25,22.35,22.4,28.42,0.028,28.5,17.02,0.022,17.1,1146,0,0.34,18,10
2299950,0.47860683,792,MANATEE RIVER NEAR MYAKKA HEAD FL,174.3,3,27.473651,-82.211201,FL,Ref,SECstPlain,135.31,135.12,22.5,22.5,28.67,0.041,28.8,16.22,0.032,16.3,1160.5,0,0.337,20,10
2300700,0.46263583,778,BULLFROG CREEK NEAR WIMAUMA FL,73.8,3,27.791972,-82.352037,FL,Ref,SECstPlain,132.48,131.23,22.41,22.4,28.48,0.11,28.2,16.56,0.175,16.9,1157.3,0,0.316,20,10
2301738,0.400947785,700,ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL,7.6,3,27.880025,-82.370648,FL,Non-ref,SECstPlain,129.32,128.57,22.3,22.3,27.97,0.082,27.8,16.95,0.059,17.1,1151.9,0,0.302,10,10
2301750,0.33922606,600,DELANEY CREEK NEAR TAMPA FL,35.8,3,27.925856,-82.364259,FL,Non-ref,SECstPlain,130.53,127.96,22.3,22.3,28.29,0.183,27.9,16.62,0.176,17,1149.5,0,0.296,20,10
2301900,0.401851512,703,"FOX BRANCH NEAR SOCRUM, FL",22.4,3,28.182603,-82.011872,FL,Non-ref,SECstPlain,131.51,131.88,22.46,22.4,28.36,0.022,28.4,16.46,0.062,16.4,1162.3,0,0.291,20,10
2301990,0.109781259,140,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,238.9,3,28.185567,-82.183974,FL,Ref,SECstPlain,135.04,134.03,22.21,22.1,28.26,0.058,28.2,16.21,0.114,16,1148.9,0,0.274,20,10
2303205,0.285682088,460,BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL,57.1,3,28.028353,-82.245368,FL,Non-ref,SECstPlain,132.94,132.63,22.28,22.2,28.52,0.035,28.6,16.02,0.08,16.3,1148.5,0,0.291,17,10
2303350,0.345241064,615,TROUT CREEK NEAR SULPHUR SPRINGS FL,42,3,28.134722,-82.361944,FL,Non-ref,SECstPlain,134.35,132.84,22.2,22.2,28.13,0.026,28.1,15.98,0.117,16.2,1144.9,0,0.274,20,10
2306500,0.417847265,729,SWEETWATER CREEK NEAR SULPHUR SPRINGS FL,13.6,3,28.043073,-82.511762,FL,Non-ref,SECstPlain,124.86,121.75,22.4,22.4,28.2,0.076,28,16.71,0.12,17,1162.9,0,0.294,20,10
2306647,0.398655892,692,SWEETWATER CREEK NEAR TAMPA FL,41.8,3,28.013908,-82.545096,FL,Non-ref,SECstPlain,122.37,119.03,22.4,22.4,28.05,0.149,27.8,16.91,0.197,17.2,1164.6,0,0.299,20,10
2306950,0.442566088,754,BRUSHY CREEK NEAR CITRUS PARK FL,41.8,3,28.065017,-82.555374,FL,Non-ref,SECstPlain,126.83,123.41,22.36,22.4,28.23,0.128,27.9,16.62,0.182,17,1159.8,0,0.288,16,10
2307359,0.246316117,373,"BROOKER CREEK NEAR TARPON SPRINGS, FL.",80,3,28.095833,-82.6875,FL,Non-ref,SECstPlain,130.25,131.76,22.28,22.3,28.05,0.159,27.8,16.7,0.176,16.9,1153.8,0,0.273,20,10
2307671,0.515320965,822,ALLIGATOR CR BELOW US HWY 19 AT CLEARWATER FL,12.1,3,27.9753,-82.72732,FL,Non-ref,SECstPlain,129.88,129.4,22.3,22.3,27.51,0.037,27.6,17.38,0.041,17.3,1155.3,0,0.28,11,10
2309415,0.867816116,1021,CURLEW CREEK AT EVANS ROAD NEAR DUNEDIN FL,1.1,3,28.023352,-82.740657,FL,Non-ref,SECstPlain,130.74,131.05,22.3,22.3,27.5,0.039,27.6,17.38,0.043,17.3,1154.2,0,0.273,10,10
2309848,0.395900781,689,"SOUTH BRANCH ANCLOTE RIVER NEAR ODESSA, FL.",43.6,3,28.185444,-82.553361,FL,Non-ref,SECstPlain,130.57,130.47,22.26,22.2,28.33,0.045,28.3,16.34,0.063,16.3,1153.4,0,0.279,20,10
2310000,0.225739044,330,ANCLOTE RIVER NEAR ELFERS FL,177.6,3,28.214178,-82.666488,FL,Non-ref,SECstPlain,131.86,132.51,22.17,22.2,28.2,0.162,27.7,16.28,0.251,16.8,1146.8,0,0.27,20,10
2310947,0.114555503,148,"WITHLACOOCHEE RIVER NEAR CUMPRESSCO, FLA.",649.6,3,28.311952,-82.055915,FL,Ref,SECstPlain,129.78,133.21,22.29,22.1,28.29,0.078,28.2,16.33,0.045,16.2,1153.8,0,0.284,20,10
2312200,0.107985552,131,"LITTLE WITHLACOOCHEE RIVER AT RERDELL, FLA.",413.5,3,28.572773,-82.155363,FL,Ref,SECstPlain,129.92,130.37,21.87,21.6,28.15,0.021,28.1,16.05,0.158,15.8,1130.3,0,0.262,20,10
2314500,0.060168029,40,"SUWANNEE RIVER AT US 441, AT FARGO, GA",3322.2,3,30.680556,-82.560556,GA,Ref,SECstPlain,130.31,131.39,19.31,19.5,26.38,0.224,26.7,12.6,0.206,12.9,1015.5,0,0.121,20,10
2315500,0.064282273,47,"SUWANNEE RIVER AT WHITE SPRINGS, FLA.",6136.3,3,30.325781,-82.738183,FL,Ref,SECstPlain,131.7,135.27,19.44,20.1,26.49,0.246,27,12.79,0.344,13.5,1020.8,0,0.12,20,10
2321000,0.257015473,400,NEW RIVER NR LAKE BUTLER FLA,465.3,3,29.998295,-82.273999,FL,Ref,SECstPlain,133.91,133.82,19.78,20,26.79,0.062,27,13.58,0.078,13.7,1027,0,0.193,18,10
2324000,0.135885934,188,"STEINHATCHEE RIVER NEAR CROSS CITY, FLA.",791,3,29.786613,-83.321526,FL,Ref,SECstPlain,143.57,152.18,20.05,20.1,26.9,0.085,26.7,13.54,0.116,13.6,1047.7,0,0.174,20,10
2324400,0.153501728,216,"FENHOLLOWAY RIVER NEAR FOLEY, FLA.",176.3,3,30.098271,-83.471811,FL,Ref,SECstPlain,142.21,145.59,20.1,20.2,26.75,0.061,27,13.36,0.06,13.3,1051,0,0.136,20,10
2327100,0.270943914,429,"SOPCHOPPY RIVER NR SOPCHOPPY, FLA.",271.1,3,30.129369,-84.494348,FL,Ref,SECstPlain,162.38,160.16,19.16,19.3,26.49,0.15,26.5,12.62,0.34,13.3,998.8,0,0.116,20,10
2330400,0.158520713,224,"NEW RIVER NEAR SUMATRA, FLA",448.8,3,30.038814,-84.843799,FL,Ref,SECstPlain,159.5,159.73,19.28,19.4,26.3,0.166,26.5,12.67,0.243,12.8,1008.3,0,0.108,11,10
2342933,0.7930529,993,SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL,290.1,3,32.017657,-85.29577,AL,Ref,SEPlains,135.7,133.93,17.71,17.6,24.52,0.109,24.7,11.58,0.132,11.3,947.2,0.7,0.081,20,10
2349900,0.3995162,694,"TURKEY CREEK AT BYROMVILLE, GA",122.9,3,32.195556,-83.902222,GA,Ref,SEPlains,120.44,120.54,18.35,18.5,25.02,0.097,25.1,11.95,0.119,12.1,987.6,0,0.073,20,10
2350900,0.158762322,225,"KINCHAFOONEE CREEK NEAR DAWSON, GA",1365.1,3,31.764444,-84.253333,GA,Ref,SEPlains,127.68,129.33,18.04,18.4,24.74,0.233,25.3,11.7,0.382,12.7,964.3,0,0.087,20,10
2361000,0.234371374,350,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",1781.6,3,31.342949,-85.610491,AL,Ref,SEPlains,142.23,146.56,18.28,18.6,24.89,0.23,25.3,12.05,0.096,12,972.4,0,0.08,20,10
2363000,0.245813054,370,PEA RIVER NEAR ARITON AL,1292.5,3,31.594887,-85.782998,AL,Ref,SEPlains,139.62,144.51,17.89,18.4,24.51,0.222,25,11.9,0.167,11.8,955.5,0.4,0.081,20,10
2365470,0.267204231,423,"WRIGHTS CREEK AT SH 177-A NR BONIFAY,FL",386.5,3,30.85713,-85.76215,FL,Ref,SEPlains,149.87,152.58,18.83,18.9,25.43,0.112,25.6,12.46,0.098,12.6,998.7,0,0.062,11,10
2365769,0.411521831,720,"BRUCE CREEK AT SH 81 NR REDBAY, FL",212,3,30.62464,-85.94244,FL,Ref,SEPlains,167.42,163.83,18.99,19.1,26.11,0.092,26.3,12.88,0.157,12.4,999.3,0,0.083,11,10
2366996,0.286417396,462,"ALAQUA CREEK NEAR PLEASANT RIDGE, FL",100.7,3,30.66908,-86.18661,FL,Ref,SEPlains,168.82,169.68,18.85,18.9,26.03,0.038,26.1,12.89,0.058,13,993.9,0,0.085,11,10
2369800,0.300044153,495,BLACKWATER RIVER NEAR BRADLEY AL,227.5,3,31.02768,-86.709957,AL,Ref,SEPlains,160.98,162.71,18.18,18.3,25.4,0.074,25.6,11.72,0.084,11.5,966.8,0,0.066,20,10
2370000,0.241779048,361,"BLACKWATER RIVER NR BAKER, FLA.",534.3,3,30.83352,-86.734679,FL,Ref,SEPlains,162.71,165.68,18.36,18.7,25.5,0.121,25.9,11.69,0.117,11.8,975.6,0,0.063,16,10
2371500,0.188382078,269,CONECUH RIVER AT BRANTLEY AL,1292.8,3,31.573495,-86.251623,AL,Ref,SEPlains,141.52,150.12,17.77,17.7,24.6,0.263,25.3,11.93,0.24,11.3,952.3,0.4,0.083,20,10
2372250,0.220014225,319,PATSALIGA CREEK NEAR BRANTLEY AL,1145.2,3,31.596272,-86.405518,AL,Ref,SEPlains,144.53,149.89,17.82,17.8,24.59,0.212,25.2,12.04,0.224,11.4,954.1,0.4,0.087,20,10
2374500,0.25336305,388,MURDER CREEK NEAR EVERGREEN AL,445.7,3,31.4185,-86.98664,AL,Ref,SEPlains,158.74,164.42,18.09,18.1,24.92,0.189,25.3,11.93,0.17,11.5,967.6,0,0.083,20,10
2374745,0.2995333,494,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.",472.1,3,31.129899,-87.087193,AL,Ref,SEPlains,164.78,172.64,18.14,18.1,25.26,0.223,25.7,11.7,0.216,11.2,968.6,0,0.071,10,10
2378300,0.503705773,808,"MAGNOLIA RIVER AT US 98 NEAR FOLEY, ALABAMA",44.3,3,30.406587,-87.736932,AL,Non-ref,SEPlains,172.02,171.25,19.3,19.3,25.21,0.033,25.1,14.03,0.088,14.2,1022,0,0.063,10,10
2378500,0.308628304,510,FISH RIVER NEAR SILVER HILL AL,145.1,3,30.545471,-87.798601,AL,Non-ref,SEPlains,172.56,173.54,19.14,19.1,25.36,0.049,25.3,13.71,0.159,13.9,1012.8,0,0.06,20,10
2381600,0.378227138,667,"FAUSETT CREEK NEAR TALKING ROCK, GA",10.3,3,34.570366,-84.468816,GA,Ref,EastHghlnds,159.91,156.72,13.84,13.9,20.72,0.225,21,8.44,0.264,8.7,770.7,5,0.089,20,10
2384540,0.426447865,739,"MILL CREEK NEAR CRANDALL, GA",21.4,3,34.872024,-84.721326,GA,Ref,EastHghlnds,170.41,152.12,13.84,14.4,19.14,1.407,21.3,7.86,0.719,8.3,772.5,6,0.088,20,10
2395120,0.380691588,672,"TWO RUN CREEK NEAR KINGSTON, GA",84,3,34.242778,-84.889722,GA,Ref,EastHghlnds,135.04,133.68,15.36,15.5,22.26,0.161,22.5,9.16,0.112,9.3,847.7,3.5,0.101,20,10
2408540,0.422216346,734,HATCHET CREEK BELOW ROCKFORD AL,682.4,3,32.91679,-86.270251,AL,Ref,SEPlains,145.15,143.38,16.22,16.8,23.01,0.461,23.9,9.65,0.436,10.4,875.5,1.9,0.105,20,10
2415000,0.426471693,740,HILLABEE CREEK NEAR HACKNEYVILLE AL,491.4,3,33.066787,-85.87913,AL,Ref,SEPlains,145.77,142.75,15.75,16.4,22.69,0.457,23.7,9.19,0.322,10,856.7,2.1,0.114,20,10
2422500,0.372285849,652,MULBERRY CREEK AT JONES AL,527.5,3,32.58291,-86.903599,AL,Ref,SEPlains,144.64,143.44,17.06,17.4,23.77,0.204,24.4,10.75,0.215,11.4,926.2,1,0.106,20,10
2427250,0.51418684,820,"PINE BARREN CREEK NEAR SNOW HILL, AL.",675.2,3,31.996258,-87.068319,AL,Ref,SEPlains,148.3,146.72,17.87,17.6,24.73,0.099,24.8,11.7,0.167,11.5,959.2,0.1,0.088,20,10
2430085,0.546115023,842,"RED BUD CREEK NR MOORES MILL, MS",40.6,3,34.466667,-88.283611,MS,Ref,SEPlains,151.97,151.47,16.13,16.1,22.59,0.067,22.7,9.42,0.075,9.4,901.1,3,0.118,20,10
2430615,0.459737943,775,"MUD CREEK NR FAIRVIEW, MS",28.7,3,34.3925,-88.355,MS,Ref,SEPlains,150.51,150.34,16.13,16.2,22.8,0.069,22.9,9.62,0.045,9.7,900.7,3,0.117,20,10
2438000,0.477311559,789,BUTTAHATCHEE RIVER BELOW HAMILTON AL,724.2,3,34.106213,-87.989476,AL,Ref,SEPlains,154.26,154.5,15.25,15.2,22.28,0.258,23.1,8.92,0.228,8.4,852,4,0.111,19,10
2448900,0.786853673,988,"BODKA CREEK NEAR GEIGER, AL.",411.8,3,32.807076,-88.311976,AL,Ref,SEPlains,143.69,142.74,17.16,17.2,23.98,0.054,23.9,10.89,0.064,10.9,936.3,1,0.128,19,10
2449882,0.584463871,879,"BLUE SPRINGS CREEK NEAR BLOUNTSVILLE, AL.",30.4,3,34.07982,-86.60777,AL,Non-ref,EastHghlnds,146.92,147.37,15.69,15.8,22.15,0.098,22.3,9.2,0.058,9.2,870,3,0.103,17,10
2450250,0.567003381,860,SIPSEY FORK NEAR GRAYSON AL,231.8,3,34.285378,-87.398908,AL,Ref,EastHghlnds,152.28,152.1,15.45,15.4,21.88,0.164,22.2,9.1,0.11,9,860.4,4,0.11,20,10
2450825,0.442763649,755,"CLEAR C AT NEW HOPE CHURCH NR POPLAR SPRINGS, AL.",263.4,3,34.081215,-87.422793,AL,Ref,EastHghlnds,154.78,153.13,15.24,15.2,21.98,0.13,22.3,9.1,0.137,8.9,848.4,4,0.111,16,10
2464000,0.557763582,850,NORTH RIVER NEAR SAMANTHA AL,578.9,3,33.479281,-87.59723,AL,Ref,EastHghlnds,149.86,148.19,15.96,16.5,23,0.222,23.4,9.25,0.182,9.8,882.2,2.8,0.117,20,10
2464146,0.511823293,818,TURKEY CREEK NEAR TUSCALOOSA,15.8,3,33.413448,-87.51056,AL,Ref,EastHghlnds,149.19,148.84,16.41,16.4,23.22,0.088,23.4,9.72,0.053,9.9,909.6,2,0.109,20,10
2464360,0.489223259,802,BINION CREEK BELOW GIN CREEK NEAR SAMANTHA AL,148.6,3,33.424837,-87.642509,AL,Ref,SEPlains,147.62,147.11,16.43,16.6,23.31,0.124,23.6,9.61,0.216,10.1,907,2,0.119,20,10
2465493,0.273929219,435,ELLIOTTS CREEK AT MOUNDVILLE AL,83.4,3,32.997346,-87.62223,AL,Ref,SEPlains,144.13,143.29,17.23,17.2,23.69,0.083,23.9,10.6,0.109,10.8,939,1,0.125,20,10
2469800,0.477881847,790,SATILPA CREEK NEAR COFFEEVILLE AL,422.7,3,31.744325,-88.022507,AL,Ref,SEPlains,150.9,148.17,17.94,18,25.05,0.145,25.4,11.36,0.207,10.9,961.6,0,0.09,20,10
2470072,0.895792131,1036,"BASSETT CREEK AT US HIGHWAY 43 NR THOMASVILLE, AL.",27.6,3,31.864042,-87.747225,AL,Ref,SEPlains,150.14,151.01,17.9,17.9,24.68,0.079,24.9,11.77,0.092,11.6,962.9,0,0.097,14,10
2472000,0.318762516,540,"LEAF RIVER NR COLLINS, MS",1927.1,3,31.706944,-89.406944,MS,Ref,SEPlains,152.09,151.88,17.71,18.2,24.58,0.17,25.1,11.13,0.223,11.5,953.7,0.8,0.119,20,10
2472500,0.337419059,593,"BOUIE CREEK NR HATTIESBURG, MS",789.9,3,31.425833,-89.414722,MS,Ref,SEPlains,154.27,157.62,18.16,18.3,25,0.242,25.5,11.8,0.16,11.7,969.2,0.1,0.112,20,10
2472850,0.330344848,578,"OKATOMA CREEK AT SANFORD, MS",664.1,3,31.489167,-89.433333,MS,Ref,SEPlains,152.02,156.27,18.04,18.3,24.81,0.204,25.4,11.56,0.167,11.7,965.2,0.3,0.113,15,10
2479155,0.592694746,884,"CYPRESS CREEK NR JANICE, MS",137.3,3,31.025278,-89.016667,MS,Ref,SEPlains,162.12,163.67,18.42,18.6,25.74,0.05,25.8,11.79,0.124,11.5,983.5,0,0.082,20,10
2479300,0.26661106,421,"RED CREEK AT VESTRY, MS",1144.2,3,30.736111,-88.781111,MS,Ref,SEPlains,166,169.04,18.95,19,25.69,0.07,25.8,12.17,0.277,12.1,1008.8,0,0.074,20,10
2479560,0.227840917,335,ESCATAWPA RIVER NEAR AGRICOLA MS,1454.3,3,30.809077,-88.458627,MS,Ref,SEPlains,164.07,167.41,18.43,19.3,25.41,0.176,25.8,11.49,0.201,11.3,982.4,0,0.073,20,10
2479945,0.378887444,670,"BIG CREEK AT COUNTY RD 63 NEAR WILMER, AL.",82,3,30.85602,-88.333899,AL,Ref,SEPlains,166.5,167.29,19.02,19.3,25.43,0.087,25.6,11.86,0.21,12,1012.3,0,0.057,19,10
2479980,0.418721197,730,"CROOKED CREEK NEAR FAIRVIEW, AL.",21.5,3,30.780188,-88.318898,AL,Non-ref,SEPlains,169.19,168.68,19.52,19.5,25.42,0.024,25.4,13.36,0.176,12.9,1042.6,0,0.045,19,10
2480002,0.344235735,610,"HAMILTON CREEK AT SNOW ROAD NEAR SEMMES, AL.",21.2,3,30.726023,-88.276396,AL,Non-ref,SEPlains,169.8,169.94,19.65,19.6,25.31,0.044,25.3,13.67,0.104,13.6,1049.4,0,0.045,19,10
2481000,0.571895856,864,"BILOXI RIVER AT WORTHAM, MS",249.2,3,30.558611,-89.121944,MS,Ref,SEPlains,170.15,173.32,19.25,19.5,25.67,0.062,25.6,12.8,0.422,13.6,1022.3,0,0.058,20,10
